Vehicle_Type,Vehicle_Route_Name,Latitude,Longitude,ID,Waypoint_ID
JEEP,SANTA MARIA-SAMPOL_2.1,14.82304000,120.96916000,TP091,SANTA MARIA-SAMPOL_2.1_TP091
JEEP,SANTA MARIA-SAMPOL_2.1,14.82328000,120.97013000,TP092,SANTA MARIA-SAMPOL_2.1_TP092
JEEP,SANTA MARIA-SAMPOL_2.1,14.82333000,120.97029000,TP093,SANTA MARIA-SAMPOL_2.1_TP093
JEEP,SANTA MARIA-SAMPOL_2.1,14.82336000,120.97042000,TP094,SANTA MARIA-SAMPOL_2.1_TP094
JEEP,SANTA MARIA-SAMPOL_2.1,14.82348000,120.97069000,TP095,SANTA MARIA-SAMPOL_2.1_TP095
JEEP,SANTA MARIA-SAMPOL_2.1,14.82369000,120.97099000,TP096,SANTA MARIA-SAMPOL_2.1_TP096
JEEP,SANTA MARIA-SAMPOL_2.1,14.82376000,120.97111000,TP097,SANTA MARIA-SAMPOL_2.1_TP097
JEEP,SANTA MARIA-SAMPOL_2.1,14.82382000,120.97123000,TP098,SANTA MARIA-SAMPOL_2.1_TP098
JEEP,SANTA MARIA-SAMPOL_2.1,14.82387000,120.97132000,TP099,SANTA MARIA-SAMPOL_2.1_TP099
JEEP,SANTA MARIA-SAMPOL_2.1,14.82395000,120.97146000,TP100,SANTA MARIA-SAMPOL_2.1_TP100
JEEP,SANTA MARIA-SAMPOL_2.1,14.82397000,120.97152000,TP101,SANTA MARIA-SAMPOL_2.1_TP101
JEEP,SANTA MARIA-SAMPOL_2.1,14.82405000,120.97173000,TP102,SANTA MARIA-SAMPOL_2.1_TP102
JEEP,SANTA MARIA-SAMPOL_2.1,14.82423000,120.97213000,TP103,SANTA MARIA-SAMPOL_2.1_TP103
JEEP,SANTA MARIA-SAMPOL_2.1,14.82436000,120.97236000,TP104,SANTA MARIA-SAMPOL_2.1_TP104
JEEP,SANTA MARIA-SAMPOL_2.1,14.82450000,120.97265000,TP105,SANTA MARIA-SAMPOL_2.1_TP105
